Training,Testing
11.552736963229785,28.63766009416997
11.872348952495278,32.794652092993296
11.813215431249542,20.83358276627374
11.527515222122252,22.62051261650852
11.666910174600904,26.2676833998872
12.19273221613851,21.49137042897378
11.825518934698998,25.309143829150923
12.711739082963582,22.22828870762371
12.959903270997717,23.9610712483204
11.781476807910371,26.21494344791552
11.806605842465828,20.40455999458984
11.7311071571933,22.450186232814907
11.714742683476707,28.82993263843625
13.449696659343143,23.767800392947844
12.310510257843887,31.19343894604705
12.36705164101754,30.730365634723935
12.304430653686849,27.21887457110949
13.519295092583933,23.30456188703153
11.984166930689076,34.50413340057133
11.652743296285864,22.03525623010894
11.762243571144728,29.887384277021532
12.04000590595534,21.18633472093238
11.792600133856379,26.249507363921282
12.635162657185187,21.84737089619604
12.562615256648433,22.50389851464
11.619068200637873,28.569808290653512
12.286284203062701,33.428657659272545
12.17038757008151,33.228271587125306
11.65302822568437,30.23300902455514
11.872293758968041,29.57116615563191
11.839095280619107,31.80586838983916
11.964694447121007,21.592295423373113
11.52976924831808,22.17718053934397
12.105897412768517,29.565066843726683
12.235168761153451,25.465179168570753
11.846215441766583,33.16435819583416
11.726808715942118,24.659593721080785
11.786615474198683,28.282501819226027
13.327782374530502,23.17354940513566
12.070339825801545,33.89510595788179
11.99963695311312,28.305986443646404
11.825366602286989,24.74037225832101
12.424822391693136,34.019337945379114
11.976145925647003,26.063271330539134
11.765722560986932,26.049318798383275
11.945593744702679,20.85341407551125
11.83285357286089,25.04603492011047
11.779612618379968,25.241813092503754
13.861140538644777,24.839440033040443
12.09278202665375,20.784488428914685
11.673735698213775,20.931416284209647
11.366353942211571,28.573483497825507
11.55825838942563,31.121810952484804
11.931104662182394,28.722874018522422
12.566571591320729,35.97822706887876
12.800558011836983,34.489909199536754
11.610149532356697,28.654850589975148
12.201375846897742,21.61962285029302
12.928625520595777,26.0446705377413
12.39162345375572,25.613078960298694
11.804241036430584,32.1745532516928
11.604269008829705,33.99538555136342
11.882955101736284,31.361602351532053
11.646665368204385,24.295221034871485
12.664250535830526,21.647689278105425
11.817896529241793,24.887766415464295
11.91067865664417,24.919767584639647
12.354145716317214,26.971863947213645
11.83587031295721,27.57006886344659
11.82364201545968,31.74552225184218
11.65394365273106,21.676777404838557
11.842399919579918,28.420682370855044
12.335044514301165,29.57961299922532
11.670767554118047,30.865029762301923
11.597455363927033,32.67002047593555
11.734897754309966,28.677100496221144
12.28922325960771,24.620705166686545
11.941371086050156,34.5534997777007
11.72651229258887,26.940155987156572
11.828839703714584,31.13348047067606
11.810989861256314,29.923160248925022
11.838632148971403,34.068678802024834
11.877672792207973,27.486241807728565
11.877653942468717,29.49891105226754
11.861267197110646,30.8879782561673
12.772159487439106,21.364486940537613
11.825985796392755,31.675957995278576
12.077801726749582,29.33918597230737
11.635388693842273,22.40136612470692
11.73305264956043,32.127341941251274
12.27475278071423,32.61023447840327
12.233053011173713,20.98477277147823
11.858971009984579,26.417475624020824
11.768438362537529,25.16117643124953
13.92195223373429,25.76400202818111
12.144800011095924,34.20467465392529
11.634495405682472,26.833931327351262
12.31392405639994,23.81179546806594
11.731129431246577,28.68884128959172
11.662153665621297,30.62254326941443
11.246222826118482,33.44273532418111
11.27182555429602,32.466404460355186
11.262904055755431,32.86174538920138
11.372770970945515,30.689927476827393
11.410179394952484,29.4995891177413
11.575451438270404,26.554466404979095
11.356803558212757,31.524731206765356
11.274707765833897,32.47329672469164
11.318450850321465,30.65005319385119
11.345694598231356,28.681644166995888
11.256520923387608,33.558349067074545
11.327268472345928,30.486307007504628
11.37917835026181,29.51036815066907
11.265138253709907,32.30522315906459
11.234492999679363,33.48227633695752
11.304641337465512,30.707009994291173
11.254903302793446,31.695522932352368
11.260429823262823,33.037783085047046
11.256909557062892,32.47134042262428
11.409579142739803,28.34038744353478
11.398240713210281,26.802493715475862
11.36730812349085,30.937153149653316
11.282328315370425,32.19164029086915
11.264709884099766,31.945651172596403
11.313178697345593,31.740973267162943
11.329018488209769,31.463097238776186
11.28050641583401,32.525644673131346
11.339220797256914,31.387992910813193
11.312577114185922,30.252672090667364
11.442705384747907,31.334825134698203
11.242140376249422,34.84162342179229
11.5052354618782,28.930595760623202
11.276560023374142,31.419425111527197
11.236376116808781,32.88436446660643
11.321435199785483,31.380813025986892
11.232732158170647,33.749666793277
11.2651573317669,31.921084464411816
11.244406401623285,33.23123411785713
11.424116642446258,29.023898711754633
11.253037119140691,32.77000459873031
11.276695150516504,31.913232755584637
11.24570909485881,32.32219642457256
11.250182081047912,33.48099594551275
11.261099775283611,32.51862996418495
11.25007850882776,32.829059857893256
11.28290229284595,32.10012743201484
11.280819325674223,32.8161187509647
11.312977842658114,29.490488162911245
11.265028188176949,32.991171687504796
11.42847985907416,28.944016274428556
11.29660032703931,29.418303836732285
11.286161090703336,31.519167323617786
11.353093385228222,32.560348827570834
11.230324063721211,34.455075782046514
11.52028182361844,29.84618829752634
11.255469366030312,32.291143212885366
11.275521464376613,33.20431571412078
11.237342780427255,34.09815036528737
11.241750566956183,34.87901925062862
11.370220317913768,31.314914554505734
11.270077392018605,31.4751259920664
11.407466915278636,30.373193198566938
11.361875222400739,28.588607433177685
11.46074383079987,28.70949659227199
11.416297843607875,28.683745072561724
11.300329062921973,30.86312236690404
11.529490284646949,29.897779314686453
11.233276469679117,34.57731388758537
11.258046799962706,33.33109040896474
11.289110741852928,31.263202025754296
11.25894114536759,31.50707792000528
11.347095870571158,31.003513795047454
11.332745057554874,29.983579733147497
11.356763209209383,30.529230513657215
11.33094335407263,30.63649696111578
11.324888452175966,30.318720417871273
11.306529325978724,31.892203644465255
11.272147016661648,35.74648203064028
11.627706143492158,29.415472669600046
11.244604009177298,33.062691355155025
11.235958849471915,33.505128625690865
11.38218458176411,28.704854080424823
11.298318592130265,30.473612766526745
11.473328109508387,29.82400033564434
11.295215707836643,30.6292528682952
11.260877765423611,33.71808110203374
11.300180047490077,33.1144011075575
11.292717910100961,30.709989959956125
11.26234876065021,34.09226592920793
11.315551213989707,31.96123069727306
11.377067104077042,30.504545241601274
11.347799338949143,31.009981835365828
11.254272761779095,31.475315198684573
11.311367107381868,30.38476197001504
11.279176078029797,32.46551294864295
11.297323166436211,32.46914081390319
11.262851672563212,31.674588069266864
11.35229498614612,29.980156770688417
11.397743616179824,30.432683239589185
11.364703156198894,30.07675185630585
